id,content_anonymized,3.5 Flash,3.1 Pro,GPT5.5_Medium
1,"Y chang luôn, nơi duy nhất để thi hành án là trên giường, tay phải để phía trên đầu, chỉ đánh vào mông, hỏi lỗi khi bình tĩnh và phân tích khi biết lỗi. Nên mình chưa bao giờ thấy ấm ức hay không phục sau đó cả. Mình cực thích cách giáo dục này của ba mẹ mình",1,2,2.0
2,"Riêng t hồi đó cũng bị đánh, nhưng từ khi lên 9 10t j đó k nhớ thì t đã biết dùng lý lẽ để thuyết phục r nên k bị đánh nữa. Có thể do t hên khi ở trong 1 gia đình biết lắng nghe. Do đó đối vs t nhà luôn là nơi trở về, nơi chia sẻ những câu chuyện và bài học cuộc sống. Có lẽ bạn cũng nên thử mở lời vs bố mẹ về cảm xúc xấu hổ của bạn khi bị đánh xem sao, đồng thời cũng nên tự nhận lỗi trc, hãy cho bố mẹ thấy sự trưởng thành của bạn, vì khi còn đánh là họ vẫn xem bạn là trẻ con đó😁",0,1,2.0
3,Muốn cmt lắm mà nó k có ẩn danh,1,1,1.0
4,[NAME] ơi chị check ib xíu vs ạ,1,1,1.0
5,Đc học và giảng giải là 1 đặc ân. Người ko có ba như mình thì ước được như bạn và củng ngược lại...,2,1,2.0
6,là mình thì mình dỗi bỏ nhà vài hôm 🐧,0,0,0.0
7,[NAME] 🌊 đâu phải chỉ có em đâu mà mấy anh cũng dùng cách như vậy để giáo huấn các em mà,1,1,1.0
8,[NAME] huấn bằng cây thịt của mấy anh hả kkk,2,2,1.0
9,[NAME] cây của anh sao dám giáo huấn em nào,1,1,1.0
10,[NAME] khó nói luôn  kkk,2,2,1.0
11,"Đồng Phạm Xuân mình không bị đánh, mình bị chích điện",0,2,0.0
13,"Mỗi người có sức học khác nhau không ai giống ai, em chọn ngành nào đó là quyết định của em trong sự tự do chọn lựa, cố gắng đi tới cuối cùng để tạo ra một bản thân có giá trị mà ai cũng phải chào đón và ngưỡng mộ nha ❤️ dáng vẻ đẹp nhất là dáng vẻ mà em đang nỗ lực từng ngày phát triển bản thân mình 🍀",2,2,2.0
14,"[NAME] t dạy m s, s nói bạn v",1,1,1.0
15,[NAME] t nói m với [NAME],1,1,1.0
16,0,0,1,2.0
17,Ra kiếm tiền hơn nhau rồi nói chuyện nhé em. Quan tâm chi :>,1,1,1.0
18,[NAME] cậu toàn nói chí phải kk,1,1,1.0
20,[NAME] hay quá sếp ơi,1,1,1.0
21,Mình tự hào khi là sv DNTU,2,1,1.0
22,Ngọc Hà mình cũng v ước j mai mốt mình theo nghề làm giảng viên ở đây😳,1,1,1.0
24,Ngọc Thư Quyên [NAME] mấy bạn ơi ngta nhận xét ngành NNA mik kìa 😢😢😢,1,1,1.0
25,[NAME] kệ bà ơi :))))) miệng đời làm shao mak né🥹🥹,2,2,1.0
26,"[NAME] là hệ j thế, ra trường lâu quá ko biết",1,0,1.0
27,[NAME] ngôn ngữ anh,1,1,1.0
28,"[NAME] trời đất, em nhớ thời em học thì làm j có hệ nào hay hệ nào dở, giờ lạ quá:))",2,1,1.0
29,Lứa a học còn bị nói gì lứa em 🤣,1,1,1.0
30,"Là sao , ai tóm tắt giùm",1,1,1.0
31,[NAME] khoa QTKD của bạn bị nói 6 kìa,1,1,1.0
33,Khang NguyễnNguyễn [NAME] bớt đẳng cấp 1 chút để sống hoà đồng nha,1,1,1.0
34,[NAME] biết sao h,1,1,1.0
35,[NAME] có đẳng cấp đâu mà bớt,1,1,1.0
36,[NAME] ước j bớt đẳng cấp 1 chút để sống hoà bình thì tốt biết bao,1,2,1.0
37,[NAME] đi đâu cũng bị nói v,1,1,1.0
38,Quynh Anh [NAME] mình hệ gì,1,1,1.0
39,"[NAME] hệ cúp học, hệ drama:))))",2,2,1.0
40,đến ạ Đình Đức 🌊 lun á sao làm như vậy :((,1,1,1.0
41,[NAME] mãi iu mãi iu hả kkk,2,2,1.0
44,[NAME] ra trường rồi muốn nói gì nói hả mậy,1,1,1.0
45,"[NAME] yêu trường của tôi 😍
Tôi có thể yêu trường của tôi trong 4 ngày
Ngày xuân🌷, ngày hạ🌞, ngày thu🍂, và ngày đông❄️
Tôi yêu giảng viên của tôi 🥰
Chắc là 3 ngày thôi
Ngày hôm qua, hôm nay và ngày mai
Tôi yêu bạn của tôi, người luôn kề vai sát cánh
2 ngày thôi thì sao ?
Ngày sáng 🌄và ngày tối🌃
Tôi yêu ngành học của tôi
1 ngày thôi là đủ
Mỗi ngàyyyyy 🥰",1,2,2.0
46,"[NAME] đọc để hiểu cho mấy em nè m, lẹ",1,1,1.0
47,[NAME] bạn đúng ko,1,1,1.0
48,[NAME] tui làm gì văn thơ dài được vậy fen,1,1,1.0
49,[NAME] tự hào sv DNTU,2,1,1.0
50,Khánh Toàn con mẹ cảm xúc qua cậu ơi ước j tôi cũng nói đc như v,1,1,1.0
51,[NAME] dẫn dắt đàn em kỳ vậy😁,2,2,1.0
52,[NAME] thôi kệ đi,1,1,1.0
53,[NAME] tự hào là svien DNTU 🥰,2,2,1.0
54,[NAME] đàn a cho ý kiến,1,1,1.0
55,[NAME] lần sau chừa em nhé,1,1,1.0
56,[NAME] áp lực quá😔,1,1,0.0
58,Như Quỳnh Khanh Tran Thanh Tuyền Nguyễn Linh Bui Kieu Anh,1,1,1.0
59,[NAME] Hồ Thiên Sinh Dương Đoàn tụi m xin lỗi ngta đi kìa,1,1,1.0
60,[NAME] fix bug chưa đủ thời gian nữa mà thời gian đâu ra toxic 🥲,1,1,1.0
61,Quân Lê thằng này à e,1,1,1.0
62,Đào Ngọc Huy xì xà xì xằng,1,1,1.0
63,[NAME] 2 m cũng đi hóng dữ =)),1,1,1.0
65,"Trước chị cũng nghe thầy cô nói hoài ngành kế toán của chị sẽ bị thay thế bởi AI này nọ. Nhưng mà khi chị đi thực tập rồi mới biết, cái AI chả là cái gì cả vì ngành này cần phải là người thực hiện, người làm chứ ko phải là con AI. Lên tờ khai ra sao, kiểm toán thế nào, con số này 10 năm trước nó ở đâu ra, chênh lệch số giữa tờ khai và sổ sách thì phải làm sao đây... Thách luôn đố 1 con AI nào có thể giải quyết được",1,1,1.0
66,[NAME] : nếu k phải AI viết thì bài này cũng ...,1,1,1.0
67,90kg ra chơi lọt đúng cái tay,1,1,1.0
68,được 500k thì huề vốn thôi có đâu ăn lẩu,1,1,1.0
71,[NAME] thoi con xin,1,1,1.0
72,[NAME] lạy bố kkk,2,2,1.0
74,Ng Quynh [NAME] bà giỡn hoài nha bà như,1,1,1.0
76,"Nếu anh là Hình thì em sẽ là bóng
Còn nếu anh là bóng, mình sẽ là chị em",1,1,1.0
77,"Gặp dân anh chị rồi em, lúc anh lúc chị",1,1,1.0
78,[NAME] kim cương quan điểm :)))))),2,2,1.0
79,[NAME] đọc phát hiểu liền,1,1,1.0
80,Anh lên hỏng có nổi bé oi,1,1,1.0
81,Sơ mi trắng thì ok mà thêm quần tím thì khả năng chị e với bạn đó 🙃,1,2,2.0
82,[NAME] còn hóng nữa ku 🤣,1,1,1.0
83,bạn này tốt ghê nghĩ là trai trường không tốt chứ k nghĩ bạn ấy g*y,1,1,1.0
85,Thấy quần tím rồi mà còn sáp dô,1,1,1.0
86,Ri Ri dấu hiệu nhận bik hay j,1,1,1.0
87,Ảnh hong thích con gái đó e,2,2,0.0
88,[NAME] Oanh ngta đã mặc quần tím rồi còn hỏi nựa,1,1,1.0
89,Nếu e Ko tin thì để a Tính lên đùi ảnh ngồi là biết liền à,1,1,1.0
90,Nhanh trí lấy cái quần trùm vô r chạy 😄,1,1,1.0
91,Quốc Đô anh không ác ai ác 😅,1,1,1.0
92,Trà Nguyễn a biết gì đâu tue vấn giùm mấy đứa e 😄 😄,1,1,1.0
93,Quốc Đô đúng cựu sv có khác,1,1,1.0
94,"""trường này bot nhiều lắm em"" từng muốn vô trường nghe câu đổi trường liền luôn ní :((",1,1,1.0
95,"đã quần tím r còn kêu "" anh ơi "" nữa",1,1,1.0
96,Anh nào ?? Chỉ mò Nguyễn Toàn,1,1,1.0
97,Đình Chí m lại gài nữa bạn toàn có đời nào mặc quần tím :)))),2,2,1.0
98,[NAME] ngoài ra còn màu hường nữa,1,1,1.0
