id,content_anonymized,label,GPT5.5_Medium
2382,[NAME] ko biết phải người quen tụi mình không ha,,1
2384,[NAME] bữa nào thấy đc mời đi uống trà vs ban lãnh đạo là bk à,,1
2385,Anh [NAME] uống cũng âm thầm mấy đó giấu kĩ lắm,,1
2386,[NAME] mình âm thầm xem coi phải ấy ko 😂,,1
2388,[NAME] ra trường r mà vẫn đi bịp à,,0
2389,[NAME] t còn rớt môn lên rớt môn xuống mà đòi bán điểm cho ai :))),,0
2390,[NAME] Trần chứ hả🤣,,1
2391,[NAME] ảo thật đấy,,0
2392,Thụy Trần tí thì bị hiếu moon thuốc,,1
2395,Ây da xém nữa em mua mấy môn lun r :)),,1
2397,Oanh [NAME] ai trong 3 đứa này khai ra đi ngta phốt kìa tròi oi,,0
2398,Bích Ngọc 🤡 mới cắn có ít mà bị méc rồi chán ghê,,1
2399,ad cho xin thông tin để liên hệ vs 😁,,1
2400,[NAME] có vụ này luôn hả,,1
2401,[NAME] xờiiii xờiiii dữ dị seooo,,1
2402,La Thanh Thảo Ngọc Trang Khánh Linh Trần Epes Hmy Thuỵ Thanh Tuyền,,1
2403,[NAME] bạn thấy sao nào,,1
2404,Chắc phải tuyệt vọng lắm mới tìm đến giải pháp này,,1
2405,[NAME] cảnh giác nhé bạnnn,,1
2406,"[NAME] saoo nhắc có mình bạn zay
Sợ bạn mua điểm hỏ",,1
2407,[NAME] tại bạn có tiền để mua còn [NAME] có tiền đâuu,,1
2408,Nghe tới tiền là nghe mùi liền =)).,,1
2409,[NAME]  tk này chứ ko có lùa gà ae sv,,1
2410,[NAME] gọi dell thèm nghe máy thì cut,,1
2411,[NAME] kkk đang tu đợi xíu,,1
2412,[NAME] nhói,,1
2413,[NAME] [NAME] cần biết thông tin này,,1
2414,[NAME] mua điểm j ta,,1
2415,[NAME] cẩn thận nghe chưaaa :[NAME],,1
2416,Tại sao giờ trường mới phát hiện mà trong khi vài năm trước đã có rồi,,1
2417,Tấn Quỳnh mày làm điểm mà mạnh miệng quá ha,,1
2418,Quốc Khánh gì có tiền làm,,1
2419,Tấn Quỳnh ai biết nghe giang hồ đồn 😂,,1
2420,"Quốc Khánh nghe, nào thấy r tin",,1
2421,"[NAME] ko đc mua điểm thôi,chứ mua CTXH và mua luận văn thì đc",,1
2422,[NAME] các em lại quên lời thầy [NAME] ròii:))),,1
2423,[NAME] m đúng ko t nghi m lắm 😃🤨,,1
2424,[NAME] nghe danh đã lâu,,1
2425,Còn j nữa đou mà khók vs sou 🤣🤣🤣🤣🤣 -1 sv,,1
2426,Kim Mai thật là ngu ngốk 😂,,1
