id,content_anonymized,GPT5.5_Medium,label
13101,"""Cảm giác của mình thì hắn cũng thích mình ý"" - [NAME]!!! Thích thì nhích. Đừng tin cái cảm giác đấy, sml à.
À mà, nếu tỏ tình được thì sau này bớt chủ động lại :v Không bạn nam lại làm giá đấy :v",0,
13102,Con gái chủ động cũng bình thường thôi. Và con gái chủ động sẽ dễ bị ctrai dụ hơn thôi 🙂,1,
13103,"[NAME] là sv năm nhất, mới vô trường thôi à, nhưng mà nói thật là thích thì nói bà đi, chờ đợi gì nữa?? 1 là thành ny 2 là k nhìn nhau luôn, chứ thấy để v mệt mỏi tốn thời gian ghê :))))) hiiii",0,
13104,[NAME]  kkk vậy ngân quá men rồi 😂😂,1,
13106,Tự nhận đàn ông lun 😂😂,1,
13107,tự nhận gì? rõ ràng v mà,1,
13108,Vậy lúc nào gặp ngân kêu ngân đàn ông nha 😂😂,1,
13112,Hum trước thấy ngân đàn ông đi nhầm giờ học ak😂😂,1,
13113,k có nhầm giờ mà nhầm chỗ :)),1,
13114,"Sợ em biết lại sợ em không biết
Muốn em biết lại muốn em không biết
Điều buồn nhất là
Là em biết làm như em không biết ;)))",1,
13115,tùy hứng nhé! bạn nữ ngồi ở trên thì luôn đem lại cảm giác thành công cho bạn nam nhé! 😂😂😂😂😂,1,
13116,nên tỏ tình đi gái..còn nhiều thằng nhát chết lắm..có cạy miệng nó cũng k nói đâu nhé..,1,
13117,"Cứ nc va bn nam ấy đi, ctr h hiền khô à 😁và ctr cũng thích cgái chủ động nè 😄",1,
13118,[NAME] m lang thang đâu đây đm 😑,1,
13119,[NAME] v thì nên lịch sự lại 😑,1,
13120,"Nam nữ bình đẳng, ai nói trước chả được",1,
13123,nay bạn ghê lắm rồi đó =)),1,
13124,"Câm ngay cho bố, nó mà me bố bố chỉ m",1,
13125,[NAME] thích gái chủ động 👍,1,
13126,Nhìn lại mình chẳng có gì sao mà dám nói,1,
13127,"[NAME]. Bọn t đến với nhau chẳng nói 1 câu....😂😂😂
.
.
.
Lúc đi cũng v 🙂",1,
13128,Biết không có kết quả thì không thổ lộ làm gì,1,
13129,[NAME] hương hương,1,
13130,Ngọc Lương hương cái nồi,1,
13131,[NAME] tuổi lol hay s m,1,
13132,Em trai muôi Ngọc lương,1,
13133,Quất luôn bạn ơi. [NAME] thì dắt về. [NAME] đc đậo sml nó 😂😂😂,0,
13134,Nhật Quân dã man con ngan v ông kia 😂😂,1,
13135,con trai nhát lắm bạn ơi,1,
13138,cua nó trước khi nó yêu thằng khác 👍,1,
13139,Con gái chủ động  auto dễ thương :))),2,
13141,hết tháng cô hồn rồi m chưa đi à [NAME],1,
13142,[NAME] cc nha.. thích auto dễ thương k,2,
13143,Liệu em có làm gì khiến cho họ ko dám mở lời!?,1,
13144,[NAME] cứ phải hơm 1-2 tuổi mới đc vinh nhỉ :))),1,
13145,Du Đại  đy học lại k m ơi =)))),0,
13148,Má e dạy thích là phải nói cũng như [NAME] là phải ăn :)),1,
13149,Thế thì nó từ chối thì sao,1,
13150,Tưởng tượng cảnh mai nó chich con khác .... :)))),1,
13151,Chủ động trước đi em :))) chứ a cô đơn quá -.-,0,
13152,Mình cũng đang hoang mang lắm. Đáng tính ngõ lời với bạn nam kia.,1,
13153,Truyền thuyết là có thật,1,
13154,tùy bạn thôi . nói cũng đk mà làm giá cho ế luôn cũng đk,1,
13155,[NAME] ghi nguồn nha đồng chí kkk,1,
13156,Bố ông thế cũng bắt bẻ :)),1,
13157,"bạn để càng lâu thì ng ấy càng y bạn đậm sâu
HOẶC
bạn đang bị ảo giác",1,
13158,#hắn ở đâu huế quảng trị á chúc may mắn,1,
13159,[NAME] vô phân tích cho em nó kìa =)),1,
13161,Tuấn Kiệt chuyên gia tư vấn tâm sinh lý gì kì v =)),1,
13162,[NAME] lol tâm sinh lí nhứt nách thật 😂,1,
13165,"Cứ làm bạn vs hắn trước đi rồi nc thân thiết cafe trà sữa đôi ba lần xem tính tình hắn có hợp vs bạn ko đã nhé rồi lâu lâu giả vờ đang buồn chuyện tc tâm sự với hắn nè . Nói chung là cứ âm thầm tìm hiểu nó trc xem nó có ý j với bạn ko rồi hẵng ns , chứ mà ns ra rôi nó ko có thich j minh thì nv bạn gái thiệt thòi lắm . Lý trí một chút nhé bạn ☺️",1,
13166,Bạn c nói có lý quá ng có kinh nghiệm có khác haha,1,
13167,Bạn [NAME] coi học hỏi ít kinh nghiệm nha 😂😂,1,
13168,Tan [NAME] móa ơi kinh nghiệm tình trường của con bạn tui giờ tui ms biết luôn 😂😂,1,
13169,Bởi dấu diếm k k chia sẻ cho bạn bè tí nào haha,1,
13170,Chém gió chút ấy mà 2 bạn,1,
