id,content_anonymized,label
5908,Phương Nam đúng nhận sai cãi :))),
5909,[NAME] Trinh cãi đúng sai nhận 🫠,
5911,😐😐😐 hồi xưa a cũng đi mẹc mà không có ai lên cả rõ buồn,
5912,[NAME] mẹc màu gì mới được ? 🤣,
5913,[NAME] mẹc màu trong suốt 😂😂😂,
5914,[NAME] thế ngta k lên là đúng rồi 🤣,
5915,Đr xe hơi :))) chứ xe cup bỏ bú ròi🤣,
5916,[NAME] wave nè em,
5917,[NAME] t với m sắp cút ra trg rồi vẫn chưa thấy chàng quàng tử nào như này =)),
5918,Duyên Phạm chờ em nào năm nhất cũng được nữa 😞 mà sao chờ hoài hỏng thấy,
5919,Em lỡ để mẹc ở nhà gòi😥,
5920,[NAME] thì kinh gòi 😂,
5922,Tantai Nguyen Gái rụng tứng rụng tứng 😂,
5923,[NAME] anh vũ bình định đem audi ra giúp đi,
5924,[NAME] sv nghèo làm j có Audi e 🥲🥲,
5925,Nhấn mạnh [NAME] @@,
5926,[NAME] trường mình có cho tiền để quảng cáo ngành quản trị ko pro,
5929,đỉnh quá ạ mặc dù hơi dài mình k đọc,
5930,Bảo sao hồi trc đi wave nên k hay gặp đc truyện zầy 🙄🤔,
5931,Quan trọng là hậu tạ bằng j đây nà 😂,
5932,[NAME] quan trọng là có mec,
5933,[NAME] hiểu vấn đề liền kk,
5934,Hậu tạ cho bát cháo lòng,
5936,Cuộc sống thật kì diệu!,
5937,câu chuyện chiếc mercedes đầy cảm lạnh 🤣,
5938,Minh Phú sinh viên đi mẹc la gke oi,
5939,THÚY PHƯƠNG em đi học có thấy con mẹc nào ko kaka,
5940,Minh Phú em phèn lắm nên không biết mẹc là xe gì 🌝,
5943,Minh Hiển em đúng ko🤣,
5944,[NAME]  con xe ai cx mơ🥺,
5945,Năm 2 ngta đi mẹc òi kìa =))),
5946,[NAME]  bạn có muốn đi mer ko,
5947,Uyên sao hồi mình học con KIA còn chả có giờ toàn mẹc ko m,
5948,Nó đi xe dream thì e có hậu tạ và viết dài như này k ? 🙄,
5949,[NAME] tại sao ko anh,
5950,[NAME] chắc chỉ có trong chịn cổ tích =))),
5952,[NAME] nào m thử làm ng tốt đi e 🤣🤣,
5953,a cho e mượn con chiến mã i,
5954,[NAME] a bảo xe máy cơ mà :)),
5955,[NAME] khó cho thg e rồi,
5956,[NAME] cóa rồi giúp lấy đồ mà :))),
5957,quan trọng là cái khúc mercedes á :)),
5958,"Năm 2 lại còn đi merc, bảo sao ko rụng trứng =))))",
5959,[NAME] rụng chiên ko kịp,
5960,[NAME] Thank [NAME]  giả bộ làm rớt túi đi,
5961,[NAME] [NAME]  kiếm em năm 2 đi Mercedes giùm kìa 🤣🤣🤣,
5962,[NAME] đc vậy cũng mừng,
5963,[NAME] ê ko lẽ t mê a này mài vừa đz vừa cuti 😌,
5964,[NAME] kkk coi bộ được nha. Đúng nà trai tốt vẫn còn,
5965,[NAME] n mà vẫn keo li mãi mận a Trogj nha 🫶 tội cái thíu mẹc,
5966,[NAME] kkk đr anh này có mẹc ngon hơn kao nghĩ là nên chuyển hướng,
5967,[NAME] í là m đk 🤡,
5968,[NAME] ý m thoi chứ t vẫn chung thủy với bồ t nha kk,
5969,[NAME] th nhường t a Trọng đii,
5971,[NAME] có mercedes lại là câu chuyện khác rồi:)) tội cho chiếc cup,
5972,Trọng Cường nhà em có hẳn 1 vỉ xe lun á,
5974,Tuy ko bt bạn nam đó nhưng chắc chắn là bạn ý rất đẹp troai 😂,
5975,[NAME] mới mua mec à,
5976,Bảo Phạm cx giống đó mà khác là mẹc :))),
5977,Văn Hải  nay đi mercedes luôn ngầu vậy bạn,
5979,"[NAME] chắc là"" e tình nguyện làm ny a để hậu tạ""😂😂",
5980,Hồng Ngọc sao mình biếc dc 😂😂,
5981,[NAME] thì nghĩ thế ó,
5982,Nào sao lại là 4 bánh 2 bánh k nổi r :v,
5983,[NAME] mer đen xì mà còn năm 2 ms chịu,
5984,[NAME] sếp đúng ko,
5985,[NAME]  chứ gì nửa đi mer ms có cửa đi 67 kh có cửa đâu,
5986,:)))))))) oke em anh đây nà 2 đứa mình iu nhao hong,
5987,[NAME] kiếm e năm 2 nào giúp kìa chị,
5988,[NAME] chờ Phước lên năm 2 rồi nhờ cũng được mà :v kkk,
5989,Xuân Hằng em kh có mẹc em chỉ có xe 50cc vá 2 lần thôi,
5990,[NAME] [NAME] toàn sv giàu thôiiii,
5991,ôi đặc điểm thơm ngon,
5992,Kim Anh [NAME] cũng ước gì kkk,
5993,[NAME] ngta năm 2 đi mẹc,
5994,[NAME] t cũng đi mẹc mà. Mẹc lol á,
5995,[NAME] ủa tao cũng đi mẹc zị -.-,
5996,[NAME] đổi qua đi taxi khum 😢,
5997,Cẩm Mỹ Trần bạn muốn quên gì trên xe,
5998,[NAME] chắc quên đôi hài :v,
5999,[NAME] mẹt xi đéc đúng không kk,
6000,[NAME]  anh đây chứ ai kiếm đâu cho mệt,
6001,Trọng Nghĩa bức luôn ấ,
6002,Clm trường mình có ai đi mer hả,
6003,Từ Hợp moto mẹc đáy 😂,
6004,[NAME]  toàn đại gia đi học không,
6005,Hậu tạ đổ đầy bình xăng là được,
6006,Ngân Lê năm 2 mà mẹc r kìa bà. Ngành bà kìa bà,
6007,[NAME] đọc xog thấy đỉnh thiệt lun á 🥲,
6009,Chà SV năm 2 đi mẹt xi đét là khét gòi,
6012,Thấy mec xi đì là biết đẹp chai ùi đó😊,
6013,[NAME] gớt nước mắt 🥲,
6014,[NAME] cảm động quá,
6015,[NAME] m lm nhận đi kìa,
6016,[NAME] mới Tết vào đòi lấy chồng sớm rồi,
6017,[NAME] quay lại để pé hậu tạ kìa,
6018,"[NAME] ủa kì z, sao năm mình học k có anh nào đi Mer v chèn ơi 🙃🙃🙃",
6019,Thiên Mai mec thì ghê r,
6020,[NAME] cao thủ ko bằng tranh thủ,
6021,Thiên Mai bạn giờ mấy cái này thường thoi 🤣,
6022,[NAME] thì đợi thì nào bạn có đi đã r tính,
6023,Thiên Mai mấu chốt thì cũng chỉ là mec thì ai cũng đẹp,
6024,[NAME] m có quên gì k Giang,
6025,Trân [NAME] m giả bộ quên r đứng trc trg đi,
6026,Chị năm cuối kiếm anh năm 2 hả :)),
6027,[NAME] mua mec r à :)))),
6028,[NAME] Yến t xí a này :)),
6029,"M[NAME] m phải nghĩ cho bọn choa nữa chứ
T cũng muốn",
6030,MT Thông tao cg muốn. Nhưng nhìn lại ko có vé mày ơi,
6031,[NAME] a hèm nhận đi chứ kaka,
6032,[NAME] tiền đâu mua mẹc :((,
6033,Hà Quế HoaMinh NguyệtMike NguyenMinh Hiếu thời tới,
6034,[NAME] thời của min híu vs gia quy chứ tụi mình làm gì có cửa,
6035,[NAME] anh ấy có thật ko z :v,
6036,Duy Tuấn nhớ tui ké tí=))),
6037,[NAME]  Tính ra tui thiếu có con mẹc đen xì luôn á bạn =))),
6038,Anh ngồi ở quầy lễ tân thư viện ngày 19/2 ơi anh cho em infor,
6039,[NAME] có gì đâu em =))) lần sau có gặp vđề gì cứ nhờ hội sinh viên đi merc tụi a nha nhìn v chứ dễ gần và hay giúp đỡ mng lắm :))),
6040,Đi mẹc auto đẹp zai nhé các bác. Còn nếu tài chính yếu hơn tí thì bên em có sẵn xe Camry chủ tịt ạ. Đầu năm chốt xe cuối năm cưới vợ. Liên hệ em [NAME] ngay để lấy giá tốt đầuu năm nhenn,
6041,[NAME] là bỏ vô túi rr :)),
6045,"Thiện Ps info là bạn a - fb là [NAME] e nhé, có vợ r nên e cũng ko cần hậu tạ đâu 🥳",
6049,"Một câu chuyện ấm lòng trong những ngày đầu năm, mong cô bé sớm tìm được anh để cảm ơn mới năm nhất thôi em không sao đâu còn mấy năm nữa lận.
#Pug",
6050,"Nghỉ Tết thế cũng đủ rồi, tôi muốn nghỉ hè :))",
6051,đi là đi sao đợi em gỡ xong đã,
6053,Lấy tiền vô nộp tiền th mấy đứa,
6056,Thôi lỡ rồi nghỉ bù tết mấy năm sau ã😅,
6057,[NAME] qui dị ktx lên đuọce chưa thế,
6058,[NAME] ktx lên đc rồi bro :V t đang ở trển đây,
