data_type,model_a,model_b,rows,comparable_rows,agree_count,disagree_count,observed_agreement,expected_agreement,cohen_kappa
comment,vsfc_phobert,phobert_student_vn,13797,13797,6492,7305,0.4705370732767993,0.3746013685250029,0.15339928794780516
comment,vsfc_phobert,3.5 Flash,13797,13797,4672,9125,0.3386243386243386,0.3084539761244345,0.04362741084219274
comment,vsfc_phobert,3.1 Pro,13797,13797,4714,9083,0.34166847865478,0.30888740336595283,0.04743232209698121
comment,vsfc_phobert,GPT5.5_Medium,13797,13797,5803,7994,0.42059868087265345,0.3736591347060567,0.07494249340503735
comment,phobert_student_vn,3.5 Flash,13797,13797,8211,5586,0.5951293759512938,0.5878745732188163,0.017603385428410803
comment,phobert_student_vn,3.1 Pro,13797,13797,8187,5610,0.5933898673624701,0.5843088348705511,0.021845623033848117
comment,phobert_student_vn,GPT5.5_Medium,13797,13797,10928,2869,0.7920562441110386,0.778580416148043,0.06086104818987319
comment,3.5 Flash,3.1 Pro,13797,13797,13625,172,0.9875335217800971,0.5006462770737513,0.9750347746546307
comment,3.5 Flash,GPT5.5_Medium,13797,13797,8909,4888,0.6457200840762485,0.5908903350227203,0.13402213085475073
comment,3.1 Pro,GPT5.5_Medium,13797,13797,8873,4924,0.643110821193013,0.5872812623555538,0.135272653614181
post,vsfc_phobert,phobert_student_vn,1807,1807,544,1263,0.3010514665190924,0.26890537291336747,0.04396981240831324
post,vsfc_phobert,3.5 Flash,1807,1807,478,1329,0.2645268400664084,0.23495145393199723,0.038658182263615885
post,vsfc_phobert,3.1 Pro,1807,1807,512,1295,0.28334255672385167,0.23530732265747575,0.06281639080592344
post,vsfc_phobert,GPT5.5_Medium,1807,1807,667,1140,0.369120088544549,0.30211386635444953,0.09601311583607312
post,phobert_student_vn,3.5 Flash,1807,1807,1191,616,0.659103486441616,0.669972489081231,-0.03293362607667644
post,phobert_student_vn,3.1 Pro,1807,1807,1111,696,0.6148312119535141,0.6280228552248236,-0.0354635854826042
post,phobert_student_vn,GPT5.5_Medium,1807,1807,1454,353,0.8046485888212507,0.8099826383837803,-0.028071379989491843
post,3.5 Flash,3.1 Pro,1807,1807,1645,162,0.9103486441615938,0.5351258051070531,0.807149209779107
post,3.5 Flash,GPT5.5_Medium,1807,1807,1260,547,0.6972883231876038,0.6184750381976994,0.20657438668650993
post,3.1 Pro,GPT5.5_Medium,1807,1807,1239,568,0.685666851134477,0.5813085005155808,0.2492487923624055
overall,vsfc_phobert,phobert_student_vn,15604,15604,7036,8568,0.4509100230710074,0.36362071957702696,0.1371655334786562
overall,vsfc_phobert,3.5 Flash,15604,15604,5150,10454,0.33004357856959754,0.30089032327995346,0.04170054608086663
overall,vsfc_phobert,3.1 Pro,15604,15604,5226,10378,0.33491412458344016,0.30070617216639906,0.04891785263287208
overall,vsfc_phobert,GPT5.5_Medium,15604,15604,6470,9134,0.41463727249423227,0.36450012143673055,0.07889403719612219
overall,phobert_student_vn,3.5 Flash,15604,15604,9402,6202,0.602537810817739,0.5968573908937302,0.014090348664959472
overall,phobert_student_vn,3.1 Pro,15604,15604,9298,6306,0.595872853114586,0.5892244713937316,0.016184950801261082
overall,phobert_student_vn,GPT5.5_Medium,15604,15604,12382,3222,0.793514483465778,0.7824918330841625,0.05067694945854901
overall,3.5 Flash,3.1 Pro,15604,15604,15270,334,0.978595231991797,0.5045225777035722,0.9567997106528151
overall,3.5 Flash,GPT5.5_Medium,15604,15604,10169,5435,0.6516918738784927,0.5942454744282698,0.1415791958679396
overall,3.1 Pro,GPT5.5_Medium,15604,15604,10112,5492,0.6480389643681107,0.586676940873389,0.14846019872296806
