data_types,record_key,id,content_anonymized,emotion,label
combined_data_2_utc2,combined_data_2_utc2:236,236,"#24396: Chuyện KTX: ( Nhờ Admin đăng hộ em ạ )
💁Để có thể nói do các bạn được gia đình nuông chiều hay do cố tình mà có vài thành phần ở dơ, bầy hầy, bừa bãi đến phát tởm như vậy. 
🤡Dãy nhà D61 là nơi có vài thành phần biến khu vệ sinh chung thành cái chuồng heo bầy hầy dơ dáy nhất khu vực. Mấy bạn lan toả thông điệp dơ dáy đến các bạn đến sau, khạt đòm hỷ mũi đóng 1 cục xanh lè trên bồn, trên sàn nước. Ngồi xổm trên bồn c ngồi khiến nó dính những thứ xinh đẹp đến con mắt người đến sau. Hay là cơm, mì thừa nằm tùm lum dưới sàn nước. Rác nhựa, bọc ni long khẩu trang xài xong bỏ đó luôn ?
🔎Một dấu hỏi to đùng là do cố tình hay do ý thức ăn sâu rồi nên vậy ta ? Nhân tiện cơm  thừa ăn không hết đừng đổ ra sàn như vậy, tội lắm mấy ba ơi ( coi chừng quả báo đó ). 
🍀Hy vọng qua thông điệp tích cực này mấy bạn có thể sống sạch sẽ hơn, nâng niu những đôi mắt không vị vấy bẩn bạn nhé ! Vì một D61 không thấy gớm. Thương cô dọn vệ sinh với bây ơi !!!
#thấygớm #ởdơ #bầyhầy #thôngđiệpýnghĩa",Negative,0
combined_data_2_utc2,combined_data_2_utc2:348,348,"#Đóng học phí: Hôm bữa em có vào trang web đóng học phí của trường nhập stk ngân hàng qua thẻ sinh viên các thứ để đóng thì không đóng được do bị lỗi gì đó, còn hôm nay em vào lại thì web bị lỗi vậy giờ có cách nào để em đóng học phí đúng hạn không ạ. Vì hôm nay là ngày cuối cùng rồi, mong thầy cô trả lời giúp em.",Negative,0
combined_data_2_utc2,combined_data_2_utc2:349,349,"#TÌM ĐỒNG BỌN: Kỳ này mình muốn đăng ký học phần

• Lý thuyết đàn hồi

Nhưng không thấy hiển thị lớp (đã đăng ký khảo sát trước đó), bạn nào muốn đăng ký mở lớp riêng thì comment bên dưới nha. Thanks a lot !?

Cảm ơn các bạn đã xem tin, đi qua thấy cho mình 1 (.) khỏi trôi bài nha, mong được 15 bạn học phí cao quá <3 Thanks admin đã đăng bài.",Neutral,1
combined_data_2_utc2,combined_data_2_utc2:970,970,"Admin cho em hỏi, admin #LP là ai vậy? Tại sao lại block em không cho em theo dõi trang Tân sinh viên? Nếu không muốn trả lời câu hỏi của em thì đừng trả lời chứ không nên làm vậy! Em chỉ hỏi những câu liên quan tới chuyên ngành học tập thôi! Quá bức xúc!",Negative,0
combined_data_2_utc2,combined_data_2_utc2:3022,3022,"Gửi Ban Đào tạo và thầy cô của trường! Chuyện là hôm đăng ký lớp học phần em có nảy ra một ý kiến nhưng không kịp đóng góp, nay em nhớ ra nên viết lên đây ạ! Thay vì mỗi kỳ nhà trường cho từng sinh viên đăng ký lớp học phần cho mình, sẽ có trường hợp các bạn đăng ký thiếu, đăng ký không kịp, huỷ,... nên hệ thống sẽ quá tải. Thay vào đó, vào đầu mỗi kỳ, nhà trường tự động xếp các sinh viên cùng lớp chuyên ngành học các học phần giống nhau theo chương trình đào tạo vào một lớp học phần. Như vậy, nếu bạn nào không đăng ký kịp vẫn sẽ học được với thời khóa biểu do trường xếp, những bạn nào muốn đổi lớp hay huỷ học phần sẽ nhanh chóng và thuận lợi hơn. Đây là ý tưởng của em, mong Ban Giám hiệu xem xét ạ! #WD56",Positive,2
comment,comment:10039,10039,"Ngọc Thư con trai sạch sẽ lắm e. Ỉa đái cũng chỉ đứng chứ không ngồi :))
#ost",Positive,2
comment,comment:10082,10082,"T đăng giờ này đang học tiết cuối thèm chảy dãi nhỉ :)))
#ost",Positive,2
comment,comment:10159,10159,"Tao đé* hiểu sao mấy đứa con gái lại thích mấy thằng nhãi ranh kiểu này :))) nhắn tin nguyên dãy trọ :)) liu liu
#ost",Positive,2
comment,comment:10325,10325,"Em chỉ cần vào wall a ý, thả tim ảnh 1 lượt xong đắp mền đi ngủ. Hôm sau a ý vẫn không có động tĩnh gì thì e lại up stt :"" Dạo này thả tim nhiều mà không thấy ai tương tác nhỉ"" :))
#ost a nói thế thôi chứ các em nữ nào cũng áp dụng được hết nhé",Positive,2
comment,comment:10432,10432,"Xong rồi hôm sau cưới về động phòng nó bảo: e làm thế này ko ổn, con bạn a nó làm tốt hơn 🤣🤣🤣🤣
#ost",Neutral,1
comment,comment:10799,10799,"Trộm chưa ra khỏi cổng được chứng tỏ an ninh trường ta rất tốt, các bạn có anh chị em gái thì nên giới thiệu vô trường mình học. Ko lo mất xe :)))
#ost",Positive,2
comment,comment:10839,10839,"Các bạn thực hiện lời mình nói đi chứ hả??
#ost",Neutral,1
comment,comment:10849,10849,"- Hãy chơi thân với mấy đứa cán bộ thiếu năng lực. Vì bạn nên hỏi vì sao. Nó thiếu năng lực mà vẫn cứ là cán bộ.
Rất có thể bạn thừa năng lực nhưng sau này vẫn làm chân sai vặt đó.
- Hãy xách vác và chia sẻ mấy món đặc sản nhà quê với mấy đứa nhà giàu ngông nghênh, vì bọn nó có tiền, lười làm, ít tri thức, rất có ích cho bạn khi bạn khởi nghiệp và cần gọi vốn (những thằng đó chi tiền nhanh, kém quản lý, chỉ cần tí danh tiếng, có thể nó còn đéo thèm quan tâm đến lợi nhuận của khoản đầu tư mà bạn thu hút). Mấy thằng bạn như vậy nên quý hơn vàng.
- Hãy giữ liên lạc với mấy đứa đú đởn ra vẻ ăn chơi, vì khi cần, bạn gọi điện cho nó nịnh mấy câu, nó sẽ cho bạn địa chỉ mua thuốc lá ngoại, tên loại rượu tây nên mua đi biếu ... thậm chí lại có cả hàng xách tay nội địa chính hãng.
Cuộc đời là những chuyến đi dài, bạn muốn đi con đường đầy nắng, không khói bụi và tắc đường thì bạn phải có bản lĩnh thật nhiều, Vì đó có thể là đường cấm các loại phương tiện lưu thông, đường ưu tiên, hoặc là vỉa hè.
#Ost",Negative,0
